-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2021 through 05/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,WS10M,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN
50.75,32.75,2021,62,100.65,5.45,0.09,95.36,0.17,-4.59
50.75,33.25,2021,62,100.51,5.74,0.1,94.76,0.07,-4.02
50.75,33.75,2021,62,100.4,5.9,0.17,94.19,0.13,-3.69
50.75,34.25,2021,62,100.28,5.98,0.25,93.76,0.23,-4.06
50.75,34.75,2021,62,100.15,6.07,0.32,93.45,0.3,-4.32
50.75,35.25,2021,62,100.0,6.19,0.4,93.18,0.35,-4.52
50.75,35.75,2021,62,99.81,6.35,0.46,92.93,0.39,-4.71
50.75,36.25,2021,62,99.62,6.52,0.41,92.78,0.42,-4.94
50.75,36.75,2021,62,99.58,6.66,0.31,91.98,0.6,-4.99
50.75,37.25,2021,62,99.57,6.71,0.26,91.76,0.64,-5.48
50.75,37.75,2021,62,99.58,6.72,0.26,91.72,0.6,-5.96
50.75,38.25,2021,62,99.61,6.68,0.29,91.77,0.51,-6.33
50.75,38.75,2021,62,99.68,6.57,0.28,92.09,0.44,-6.87
51.25,29.25,2021,62,100.73,4.65,0.05,93.28,3.76,-3.23
51.25,29.75,2021,62,100.91,4.67,0.06,94.23,3.52,-3.55
51.25,30.25,2021,62,101.0,4.71,0.07,94.93,3.04,-3.81
51.25,30.75,2021,62,100.99,4.76,0.09,95.56,2.16,-4.27
51.25,31.25,2021,62,100.94,4.77,0.11,96.41,1.05,-5.19
51.25,31.75,2021,62,100.88,5.0,0.13,96.21,0.5,-5.02
51.25,32.25,2021,62,100.77,5.32,0.14,95.76,0.22,-4.36
51.25,32.75,2021,62,100.61,5.61,0.14,95.2,0.12,-3.67
51.25,33.25,2021,62,100.43,5.85,0.15,94.59,0.1,-3.26
51.25,33.75,2021,62,100.26,6.04,0.21,93.97,0.14,-3.34
51.25,34.25,2021,62,100.11,6.18,0.28,93.52,0.22,-3.23
51.25,34.75,2021,62,99.97,6.28,0.32,93.09,0.3,-3.31
51.25,35.25,2021,62,99.81,6.38,0.38,92.75,0.35,-3.58
51.25,35.75,2021,62,99.62,6.52,0.43,92.54,0.38,-4.03
51.25,36.25,2021,62,99.38,6.68,0.41,92.44,0.39,-4.6
51.25,36.75,2021,62,99.31,6.78,0.34,92.41,0.35,-5.04
51.25,37.25,2021,62,99.33,6.86,0.29,92.29,0.3,-5.5
51.25,37.75,2021,62,99.37,6.91,0.26,92.14,0.23,-5.89
51.25,38.25,2021,62,99.45,6.89,0.25,91.96,0.18,-6.17
51.25,38.75,2021,62,99.66,6.77,0.25,91.66,0.24,-6.33
51.75,29.25,2021,62,100.84,4.62,0.09,96.3,1.65,-5.04
51.75,29.75,2021,62,100.94,4.65,0.1,96.94,1.42,-5.1
51.75,30.25,2021,62,100.95,4.71,0.13,97.29,1.11,-5.04
51.75,30.75,2021,62,100.88,4.84,0.15,97.41,0.62,-4.82
51.75,31.25,2021,62,100.78,5.07,0.16,97.31,0.06,-4.51
51.75,31.75,2021,62,100.71,5.29,0.16,96.39,0.04,-4.43
51.75,32.25,2021,62,100.59,5.53,0.17,95.58,0.05,-4.25
51.75,32.75,2021,62,100.44,5.75,0.18,94.92,0.09,-3.86
51.75,33.25,2021,62,100.3,5.92,0.19,94.4,0.13,-3.38
51.75,33.75,2021,62,100.12,6.09,0.24,93.88,0.17,-3.2
51.75,34.25,2021,62,99.95,6.3,0.28,93.32,0.24,-2.93
51.75,34.75,2021,62,99.83,6.49,0.3,92.66,0.32,-2.85
51.75,35.25,2021,62,99.67,6.63,0.35,92.24,0.37,-2.97
51.75,35.75,2021,62,99.48,6.74,0.4,92.11,0.38,-3.29
51.75,36.25,2021,62,99.27,6.84,0.4,92.03,0.39,-3.8
51.75,36.75,2021,62,99.24,6.94,0.35,91.98,0.3,-4.43
51.75,37.25,2021,62,99.24,7.02,0.32,91.91,0.21,-5.0
51.75,37.75,2021,62,99.24,7.06,0.29,91.88,0.06,-5.48
51.75,38.25,2021,62,99.29,7.04,0.27,91.8,-0.09,-5.86
51.75,38.75,2021,62,99.5,6.95,0.26,91.5,-0.11,-6.11
52.25,29.25,2021,62,100.85,4.67,0.12,98.17,0.16,-6.09
52.25,29.75,2021,62,100.84,4.77,0.13,97.99,0.13,-6.28
52.25,30.25,2021,62,100.82,4.88,0.15,97.86,0.1,-6.06
52.25,30.75,2021,62,100.77,5.03,0.17,97.71,0.05,-5.21
52.25,31.25,2021,62,100.66,5.27,0.17,97.16,-0.02,-4.09
52.25,31.75,2021,62,100.52,5.45,0.17,96.31,-0.02,-4.07
52.25,32.25,2021,62,100.32,5.65,0.18,95.61,0.03,-4.19
52.25,32.75,2021,62,100.19,5.81,0.18,95.02,0.11,-3.99
52.25,33.25,2021,62,100.13,5.9,0.19,94.48,0.19,-3.39
52.25,33.75,2021,62,100.06,5.88,0.22,93.91,0.29,-2.78
52.25,34.25,2021,62,99.84,6.22,0.25,93.43,0.28,-2.81
52.25,34.75,2021,62,99.63,6.58,0.28,92.86,0.29,-2.91
52.25,35.25,2021,62,99.45,6.84,0.32,92.34,0.31,-3.02
52.25,35.75,2021,62,99.32,7.0,0.34,91.94,0.35,-3.1
52.25,36.25,2021,62,99.16,7.12,0.33,91.69,0.37,-3.13
52.25,36.75,2021,62,99.15,7.2,0.3,91.59,0.33,-3.53
52.25,37.25,2021,62,99.19,7.24,0.28,91.47,0.27,-4.06
52.25,37.75,2021,62,99.22,7.22,0.26,91.43,0.11,-4.55
52.25,38.25,2021,62,99.25,7.15,0.24,91.44,-0.12,-4.96
52.25,38.75,2021,62,99.38,7.05,0.22,91.34,-0.29,-5.35
52.75,29.25,2021,62,100.7,4.79,0.1,97.91,0.12,-6.15
52.75,29.75,2021,62,100.69,4.87,0.12,97.76,0.16,-6.28
52.75,30.25,2021,62,100.66,5.0,0.14,97.7,0.18,-5.87
52.75,30.75,2021,62,100.61,5.16,0.16,97.56,0.17,-5.06
52.75,31.25,2021,62,100.53,5.33,0.15,96.94,0.13,-4.55
52.75,31.75,2021,62,100.38,5.52,0.16,96.14,0.08,-4.54
52.75,32.25,2021,62,100.19,5.65,0.17,95.62,0.09,-4.52
52.75,32.75,2021,62,100.05,5.73,0.17,95.24,0.14,-4.22
52.75,33.25,2021,62,99.99,5.78,0.18,94.81,0.23,-3.65
52.75,33.75,2021,62,99.97,5.79,0.17,94.06,0.35,-3.12
52.75,34.25,2021,62,99.76,6.15,0.2,93.66,0.32,-2.96
52.75,34.75,2021,62,99.51,6.55,0.24,93.3,0.26,-2.96
52.75,35.25,2021,62,99.33,6.89,0.26,92.79,0.25,-3.02
52.75,35.75,2021,62,99.24,7.12,0.25,92.21,0.3,-3.1
52.75,36.25,2021,62,99.12,7.3,0.24,91.91,0.34,-3.23
52.75,36.75,2021,62,99.03,7.44,0.24,91.78,0.32,-3.32
52.75,37.25,2021,62,98.99,7.53,0.23,91.66,0.25,-3.63
52.75,37.75,2021,62,99.02,7.51,0.21,91.52,0.14,-3.95
52.75,38.25,2021,62,99.1,7.4,0.19,91.37,-0.01,-4.2
52.75,38.75,2021,62,99.24,7.27,0.17,91.22,-0.2,-4.39
53.25,29.25,2021,62,100.47,4.88,0.11,97.86,0.17,-6.16
53.25,29.75,2021,62,100.47,5.0,0.14,97.88,0.23,-5.39
53.25,30.25,2021,62,100.45,5.12,0.16,97.79,0.27,-4.82
53.25,30.75,2021,62,100.4,5.26,0.16,97.47,0.28,-4.59
53.25,31.25,2021,62,100.33,5.46,0.14,96.72,0.24,-4.72
53.25,31.75,2021,62,100.19,5.64,0.14,95.94,0.18,-4.74
53.25,32.25,2021,62,100.03,5.65,0.14,95.62,0.16,-4.68
53.25,32.75,2021,62,99.88,5.54,0.15,95.68,0.16,-4.36
53.25,33.25,2021,62,99.77,5.49,0.16,95.64,0.2,-3.85
53.25,33.75,2021,62,99.73,5.84,0.15,94.56,0.3,-3.45
53.25,34.25,2021,62,99.65,6.2,0.15,93.86,0.32,-3.26
53.25,34.75,2021,62,99.49,6.55,0.18,93.46,0.29,-3.13
53.25,35.25,2021,62,99.35,6.86,0.2,93.08,0.29,-3.07
53.25,35.75,2021,62,99.25,7.13,0.2,92.64,0.32,-3.14
53.25,36.25,2021,62,99.16,7.35,0.2,92.34,0.36,-3.47
53.25,36.75,2021,62,98.98,7.58,0.2,92.27,0.31,-3.7
53.25,37.25,2021,62,98.85,7.72,0.2,92.18,0.23,-3.89
53.25,37.75,2021,62,98.83,7.73,0.18,91.94,0.17,-4.06
53.25,38.25,2021,62,98.92,7.65,0.15,91.59,0.13,-4.17
53.25,38.75,2021,62,99.05,7.55,0.13,91.34,0.05,-4.17
43.75,29.25,2021,63,102.17,7.1,0.0,84.86,8.9,5.86
43.75,29.75,2021,63,102.27,7.05,0.0,80.56,8.78,6.37
43.75,30.25,2021,63,102.29,6.73,0.0,77.49,8.73,6.34
43.75,30.75,2021,63,102.31,6.4,0.0,76.46,8.41,6.16
43.75,31.25,2021,63,102.34,6.08,0.0,76.53,8.03,6.12
43.75,31.75,2021,63,102.36,5.73,0.0,77.16,7.81,6.26
43.75,32.25,2021,63,102.37,5.34,0.0,77.05,7.61,6.42
43.75,32.75,2021,63,102.39,4.96,0.0,76.53,7.42,6.51
43.75,33.25,2021,63,102.4,4.65,0.0,75.76,7.3,6.51
43.75,33.75,2021,63,102.41,4.45,0.0,74.78,7.37,6.53
43.75,34.25,2021,63,102.42,4.41,0.0,73.06,7.69,6.5
43.75,34.75,2021,63,102.42,4.42,0.01,71.35,7.91,6.49
43.75,35.25,2021,63,102.43,4.48,0.01,69.88,8.03,6.5
43.75,35.75,2021,63,102.43,4.62,0.02,68.96,8.05,6.49
43.75,36.25,2021,63,102.44,4.86,0.03,69.06,7.96,6.48
43.75,36.75,2021,63,102.46,4.95,0.03,68.56,7.95,6.6
43.75,37.25,2021,63,102.47,4.86,0.03,67.14,7.89,6.76
43.75,37.75,2021,63,102.48,4.57,0.03,65.24,7.75,6.81
43.75,38.25,2021,63,102.46,4.17,0.04,63.9,7.55,6.58
43.75,38.75,2021,63,102.29,3.91,0.08,64.75,7.37,5.82
44.25,29.25,2021,63,102.07,7.27,0.0,87.91,8.69,5.0
44.25,29.75,2021,63,102.2,7.67,0.0,84.73,8.21,6.1
44.25,30.25,2021,63,102.22,7.59,0.0,80.78,8.41,6.55
44.25,30.75,2021,63,102.25,7.33,0.0,77.89,8.47,6.57
44.25,31.25,2021,63,102.27,7.06,0.0,76.47,8.33,6.62
44.25,31.75,2021,63,102.3,6.76,0.0,76.64,8.08,6.65
44.25,32.25,2021,63,102.32,6.37,0.0,76.52,7.91,6.71
44.25,32.75,2021,63,102.29,5.91,0.0,76.34,7.62,6.71
44.25,33.25,2021,63,101.97,5.39,0.0,76.69,7.23,6.25
44.25,33.75,2021,63,100.96,4.79,0.0,78.47,6.91,4.59
44.25,34.25,2021,63,101.33,4.91,0.0,76.19,7.13,5.23
44.25,34.75,2021,63,101.98,5.15,0.0,73.26,7.46,6.21
44.25,35.25,2021,63,102.37,5.36,0.0,71.08,7.69,6.76
44.25,35.75,2021,63,102.39,5.5,0.01,70.04,7.78,6.77
44.25,36.25,2021,63,102.41,5.63,0.01,69.59,7.83,6.78
44.25,36.75,2021,63,102.42,5.65,0.01,69.17,7.88,6.89
44.25,37.25,2021,63,102.27,5.46,0.02,68.65,7.84,6.56
44.25,37.75,2021,63,102.02,5.0,0.02,67.86,7.74,5.65
44.25,38.25,2021,63,101.63,4.29,0.04,67.58,7.59,4.11
44.25,38.75,2021,63,101.03,3.46,0.07,69.53,7.39,1.95
44.75,29.25,2021,63,101.93,6.7,0.0,86.59,10.45,3.31
44.75,29.75,2021,63,102.1,7.63,0.0,87.32,8.44,5.04
44.75,30.25,2021,63,102.15,8.08,0.0,85.61,7.66,6.17
44.75,30.75,2021,63,102.17,8.04,0.0,81.78,8.01,6.59
44.75,31.25,2021,63,102.2,7.87,0.0,78.16,8.35,6.86
44.75,31.75,2021,63,102.23,7.59,0.0,76.81,8.28,6.89
44.75,32.25,2021,63,102.25,7.25,0.0,76.17,8.09,6.85
44.75,32.75,2021,63,102.19,6.78,0.0,75.99,7.68,6.6
44.75,33.25,2021,63,101.75,6.11,0.0,76.84,7.25,5.41
44.75,33.75,2021,63,100.38,5.14,0.0,80.09,7.36,1.99
44.75,34.25,2021,63,99.59,4.98,0.0,80.24,7.36,0.79
44.75,34.75,2021,63,100.49,5.19,0.0,76.96,7.82,2.03
44.75,35.25,2021,63,101.59,5.67,0.0,73.89,7.95,3.78
44.75,35.75,2021,63,102.16,6.15,0.0,72.53,7.71,4.89
44.75,36.25,2021,63,102.24,6.24,0.01,72.25,7.77,5.03
44.75,36.75,2021,63,102.26,6.04,0.01,72.35,7.76,4.96
44.75,37.25,2021,63,101.95,5.64,0.01,72.68,7.91,3.73
44.75,37.75,2021,63,101.58,5.01,0.02,73.32,8.15,1.8
44.75,38.25,2021,63,101.26,4.26,0.02,74.64,8.33,-0.25
44.75,38.75,2021,63,100.91,3.7,0.03,77.22,8.12,-1.7
45.25,29.25,2021,63,101.78,5.96,0.01,83.52,12.8,1.24
45.25,29.75,2021,63,101.97,6.98,0.0,86.72,9.66,3.31
45.25,30.25,2021,63,102.06,7.84,0.0,88.45,7.39,5.05
45.25,30.75,2021,63,102.09,8.28,0.0,86.96,6.98,5.92
45.25,31.25,2021,63,102.12,8.43,0.0,83.16,7.59,6.5
45.25,31.75,2021,63,102.15,8.11,0.0,79.96,7.84,6.61
45.25,32.25,2021,63,102.12,7.72,0.0,78.72,7.66,6.16
45.25,32.75,2021,63,102.02,7.15,0.0,78.64,7.6,4.96
45.25,33.25,2021,63,101.82,6.42,0.0,78.92,8.01,2.89
45.25,33.75,2021,63,101.42,5.66,0.0,78.84,9.05,-0.11
45.25,34.25,2021,63,100.28,5.16,0.0,79.17,9.42,-2.33
45.25,34.75,2021,63,100.62,5.0,0.0,77.96,9.18,-1.64
45.25,35.25,2021,63,101.44,5.3,0.0,77.09,8.27,0.23
45.25,35.75,2021,63,102.05,5.84,0.0,77.29,7.14,1.84
45.25,36.25,2021,63,102.1,6.07,0.0,78.06,6.76,2.06
45.25,36.75,2021,63,102.14,5.83,0.01,78.51,6.66,2.03
45.25,37.25,2021,63,102.03,5.45,0.01,77.93,7.2,0.96
45.25,37.75,2021,63,101.95,4.98,0.01,77.52,8.3,-0.67
45.25,38.25,2021,63,101.97,4.59,0.01,77.89,9.38,-2.14
45.25,38.75,2021,63,101.99,4.55,0.01,79.06,9.29,-2.56
45.75,29.25,2021,63,101.31,5.27,0.02,83.61,13.36,-0.26
45.75,29.75,2021,63,101.6,5.85,0.01,85.67,11.49,0.78
45.75,30.25,2021,63,101.82,6.74,0.01,88.07,8.95,2.54
45.75,30.75,2021,63,101.96,7.67,0.01,89.71,6.68,4.43
45.75,31.25,2021,63,102.04,8.17,0.01,88.94,6.28,5.47
45.75,31.75,2021,63,102.07,7.86,0.0,86.46,6.53,5.45
45.75,32.25,2021,63,102.04,7.48,0.0,84.61,6.68,4.76
45.75,32.75,2021,63,101.96,6.92,0.0,83.34,7.22,3.17
45.75,33.25,2021,63,101.86,6.29,0.0,81.99,8.16,1.05
45.75,33.75,2021,63,101.82,5.89,0.0,79.22,9.08,-0.52
45.75,34.25,2021,63,101.85,5.61,0.0,76.52,9.8,-1.18
45.75,34.75,2021,63,101.96,5.3,0.0,76.61,8.81,-0.63
45.75,35.25,2021,63,102.09,5.16,0.0,78.51,7.05,0.31
45.75,35.75,2021,63,102.19,5.28,0.0,81.11,5.43,1.04
45.75,36.25,2021,63,102.15,5.61,0.0,83.16,4.81,1.16
45.75,36.75,2021,63,102.2,5.71,0.0,84.01,4.66,1.22
45.75,37.25,2021,63,102.25,5.54,0.0,83.36,4.93,0.87
45.75,37.75,2021,63,102.29,5.24,0.0,81.46,6.1,-0.06
45.75,38.25,2021,63,102.28,4.94,0.0,79.22,7.85,-1.4
45.75,38.75,2021,63,102.16,4.81,0.0,78.22,9.04,-2.66
46.25,29.25,2021,63,100.71,4.61,0.02,83.66,13.04,-1.27
46.25,29.75,2021,63,101.08,4.88,0.02,85.79,12.23,-1.22
46.25,30.25,2021,63,101.42,5.5,0.02,87.55,10.4,-0.07
46.25,30.75,2021,63,101.7,6.38,0.02,89.14,7.79,1.91
46.25,31.25,2021,63,101.88,7.05,0.02,91.06,5.97,3.18
46.25,31.75,2021,63,101.94,7.2,0.01,90.46,5.97,3.06
46.25,32.25,2021,63,101.94,7.03,0.01,87.54,7.0,1.96
46.25,32.75,2021,63,101.92,6.65,0.0,84.1,8.1,0.59
46.25,33.25,2021,63,101.9,6.22,0.0,81.04,8.83,-0.54
46.25,33.75,2021,63,101.87,5.91,0.0,78.34,9.23,-1.06
46.25,34.25,2021,63,101.9,5.82,0.0,76.19,9.55,-1.4
46.25,34.75,2021,63,101.96,5.67,0.0,76.48,8.61,-1.06
46.25,35.25,2021,63,102.05,5.52,0.0,78.63,6.94,-0.38
46.25,35.75,2021,63,102.12,5.49,0.0,81.65,5.16,0.26
46.25,36.25,2021,63,102.15,5.71,0.0,84.12,4.05,0.46
46.25,36.75,2021,63,102.19,6.0,0.0,86.3,3.5,0.69
46.25,37.25,2021,63,102.2,6.03,0.0,86.79,3.17,0.55
46.25,37.75,2021,63,102.2,5.82,0.0,85.12,4.0,-0.25
46.25,38.25,2021,63,102.17,5.5,0.0,82.09,5.9,-1.58
46.25,38.75,2021,63,102.06,5.3,0.0,79.72,7.74,-2.94
46.75,29.25,2021,63,100.42,3.96,0.01,82.5,12.11,-1.69
46.75,29.75,2021,63,100.7,4.22,0.01,84.87,11.34,-1.81
46.75,30.25,2021,63,100.95,4.63,0.01,86.64,10.34,-1.56
46.75,30.75,2021,63,101.22,5.18,0.02,87.81,9.02,-0.91
46.75,31.25,2021,63,101.45,5.82,0.03,89.56,7.47,-0.22
46.75,31.75,2021,63,101.57,6.41,0.03,89.01,7.5,-0.23
46.75,32.25,2021,63,101.57,6.62,0.02,86.14,8.61,-1.19
46.75,32.75,2021,63,101.56,6.58,0.02,82.65,9.62,-2.04
46.75,33.25,2021,63,101.56,6.43,0.01,79.64,10.05,-2.42
46.75,33.75,2021,63,101.49,6.26,0.01,77.59,10.1,-2.61
46.75,34.25,2021,63,101.49,6.08,0.01,76.07,10.23,-2.91
46.75,34.75,2021,63,101.53,5.99,0.01,76.08,9.86,-2.85
46.75,35.25,2021,63,101.58,5.95,0.0,77.32,8.97,-2.57
46.75,35.75,2021,63,101.59,5.95,0.0,79.39,7.65,-2.25
46.75,36.25,2021,63,101.54,6.02,0.0,81.84,6.14,-2.08
46.75,36.75,2021,63,101.61,6.22,0.0,84.59,5.1,-1.77
46.75,37.25,2021,63,101.77,6.4,0.0,86.2,3.85,-1.3
46.75,37.75,2021,63,101.92,6.34,0.0,85.89,3.77,-1.45
46.75,38.25,2021,63,102.0,6.1,0.0,84.01,4.94,-2.22
46.75,38.75,2021,63,101.95,6.02,0.0,82.03,6.1,-2.84
47.25,29.25,2021,63,100.1,3.7,0.01,83.18,11.24,-2.16
47.25,29.75,2021,63,100.23,3.96,0.0,84.36,10.69,-2.24
47.25,30.25,2021,63,100.43,4.26,0.0,85.7,10.25,-2.33
47.25,30.75,2021,63,100.7,4.61,0.0,86.96,9.83,-2.39
47.25,31.25,2021,63,100.91,5.04,0.02,87.78,9.24,-2.37
47.25,31.75,2021,63,101.03,5.65,0.03,86.83,9.46,-2.36
47.25,32.25,2021,63,101.08,6.12,0.03,84.89,9.93,-2.5
47.25,32.75,2021,63,101.1,6.48,0.03,82.39,10.37,-2.65
47.25,33.25,2021,63,101.12,6.73,0.03,79.85,10.58,-2.72
47.25,33.75,2021,63,101.17,6.88,0.02,77.88,10.48,-2.65
47.25,34.25,2021,63,101.24,6.72,0.02,77.15,10.14,-2.66
47.25,34.75,2021,63,101.22,6.55,0.01,77.08,9.98,-2.94
47.25,35.25,2021,63,101.11,6.43,0.01,76.99,9.88,-3.44
47.25,35.75,2021,63,100.89,6.4,0.0,77.18,9.58,-3.98
47.25,36.25,2021,63,100.57,6.48,0.0,78.91,8.65,-4.3
47.25,36.75,2021,63,100.47,6.54,0.0,80.98,7.85,-4.31
47.25,37.25,2021,63,100.7,6.62,0.0,82.98,6.62,-3.75
47.25,37.75,2021,63,101.05,6.59,0.0,83.86,5.9,-3.35
47.25,38.25,2021,63,101.34,6.49,0.0,83.42,5.89,-3.37
47.25,38.75,2021,63,101.49,6.52,0.0,82.34,6.14,-3.55
47.75,29.25,2021,63,99.61,4.06,0.0,84.41,10.98,-2.52
47.75,29.75,2021,63,99.72,4.28,0.0,84.51,10.63,-2.45
47.75,30.25,2021,63,99.96,4.46,0.0,85.01,10.5,-2.52
47.75,30.75,2021,63,100.24,4.62,0.0,85.81,10.47,-2.66
47.75,31.25,2021,63,100.35,4.88,0.01,86.69,10.26,-2.71
47.75,31.75,2021,63,100.31,5.41,0.02,86.26,10.21,-2.79
47.75,32.25,2021,63,100.42,5.92,0.02,84.66,10.52,-2.92
47.75,32.75,2021,63,100.54,6.37,0.03,82.76,10.83,-3.05
47.75,33.25,2021,63,100.63,6.72,0.03,81.02,10.97,-3.13
47.75,33.75,2021,63,100.77,6.96,0.02,79.47,10.9,-3.15
47.75,34.25,2021,63,100.85,6.97,0.02,78.92,10.39,-3.18
47.75,34.75,2021,63,100.86,7.01,0.02,78.65,9.97,-3.17
47.75,35.25,2021,63,100.74,7.05,0.02,77.92,9.73,-3.41
47.75,35.75,2021,63,100.5,7.09,0.02,77.11,9.56,-3.91
47.75,36.25,2021,63,100.2,7.17,0.02,77.66,9.23,-4.41
47.75,36.75,2021,63,99.97,7.17,0.01,78.86,8.88,-4.75
47.75,37.25,2021,63,99.94,7.1,0.01,80.06,8.54,-4.87
47.75,37.75,2021,63,100.03,6.99,0.0,80.88,8.22,-4.9
47.75,38.25,2021,63,100.2,6.89,0.0,81.17,7.91,-4.94
47.75,38.75,2021,63,100.39,6.96,0.0,80.97,7.59,-4.98
48.25,29.25,2021,63,99.1,4.76,0.01,84.42,10.79,-2.39
48.25,29.75,2021,63,99.31,4.9,0.0,83.71,10.65,-2.39
48.25,30.25,2021,63,99.56,4.98,0.0,83.72,10.62,-2.47
48.25,30.75,2021,63,99.74,5.07,0.0,84.48,10.56,-2.57
48.25,31.25,2021,63,99.72,5.3,0.0,85.66,10.27,-2.58
48.25,31.75,2021,63,99.63,5.71,0.01,85.96,10.07,-2.69
48.25,32.25,2021,63,99.77,6.15,0.01,85.19,10.25,-2.81
48.25,32.75,2021,63,99.96,6.53,0.02,84.08,10.53,-2.97
48.25,33.25,2021,63,100.1,6.81,0.02,82.98,10.72,-3.14
48.25,33.75,2021,63,100.27,7.04,0.02,81.88,10.78,-3.2
48.25,34.25,2021,63,100.32,7.15,0.01,81.22,10.52,-3.53
48.25,34.75,2021,63,100.42,7.31,0.01,80.39,10.25,-3.34
48.25,35.25,2021,63,100.43,7.49,0.02,79.39,9.93,-3.17
48.25,35.75,2021,63,100.34,7.64,0.02,78.53,9.55,-3.28
48.25,36.25,2021,63,100.24,7.71,0.02,78.38,9.17,-3.6
48.25,36.75,2021,63,100.05,7.78,0.02,78.8,8.89,-4.02
48.25,37.25,2021,63,99.83,7.78,0.01,79.41,8.65,-4.47
48.25,37.75,2021,63,99.66,7.72,0.01,79.99,8.4,-4.93
48.25,38.25,2021,63,99.6,7.65,0.0,80.36,8.15,-5.27
48.25,38.75,2021,63,99.63,7.74,0.0,80.41,7.94,-5.26
48.75,29.25,2021,63,98.7,5.55,0.02,85.15,10.16,-2.0
48.75,29.75,2021,63,98.89,5.61,0.01,84.76,9.97,-2.13
48.75,30.25,2021,63,99.09,5.66,0.01,84.64,9.9,-2.27
48.75,30.75,2021,63,99.27,5.75,0.01,84.78,9.9,-2.39
48.75,31.25,2021,63,99.37,5.93,0.0,85.03,9.79,-2.43
48.75,31.75,2021,63,99.42,6.2,0.0,85.86,9.51,-2.83
48.75,32.25,2021,63,99.56,6.53,0.01,86.87,9.22,-3.1
48.75,32.75,2021,63,99.77,6.84,0.01,86.62,9.3,-3.02
48.75,33.25,2021,63,100.0,7.06,0.01,85.2,9.74,-2.74
48.75,33.75,2021,63,100.15,7.17,0.01,84.25,10.14,-2.75
48.75,34.25,2021,63,100.32,7.29,0.01,83.45,10.19,-2.8
48.75,34.75,2021,63,100.37,7.42,0.01,82.52,10.14,-2.73
48.75,35.25,2021,63,100.29,7.59,0.01,81.69,9.9,-2.8
48.75,35.75,2021,63,100.14,7.81,0.02,81.04,9.51,-3.05
48.75,36.25,2021,63,100.02,8.0,0.02,80.47,9.06,-3.22
48.75,36.75,2021,63,99.95,8.17,0.02,80.17,8.77,-3.41
48.75,37.25,2021,63,99.89,8.29,0.02,80.06,8.57,-3.72
48.75,37.75,2021,63,99.84,8.32,0.02,80.18,8.36,-4.17
48.75,38.25,2021,63,99.81,8.28,0.02,80.43,8.12,-4.62
48.75,38.75,2021,63,99.84,8.29,0.01,80.53,7.92,-4.81
49.25,29.25,2021,63,98.5,6.09,0.06,87.32,9.09,-1.78
49.25,29.75,2021,63,98.7,6.14,0.04,87.2,8.89,-1.95
49.25,30.25,2021,63,98.91,6.19,0.03,87.0,8.88,-2.16
49.25,30.75,2021,63,99.16,6.23,0.02,86.72,9.02,-2.45
49.25,31.25,2021,63,99.44,6.29,0.01,86.38,9.15,-2.77
49.25,31.75,2021,63,99.66,6.45,0.01,87.1,8.75,-3.2
49.25,32.25,2021,63,99.85,6.62,0.01,88.74,7.89,-3.68
49.25,32.75,2021,63,100.02,6.7,0.01,89.72,7.5,-3.94
49.25,33.25,2021,63,100.16,6.71,0.02,89.46,7.85,-3.85
49.25,33.75,2021,63,100.2,6.76,0.03,88.44,8.58,-3.43
49.25,34.25,2021,63,100.28,7.01,0.03,86.56,9.33,-2.94
49.25,34.75,2021,63,100.19,7.25,0.03,85.32,9.5,-2.77
49.25,35.25,2021,63,99.99,7.54,0.02,84.56,9.33,-2.82
49.25,35.75,2021,63,99.8,7.84,0.02,83.95,9.04,-2.98
49.25,36.25,2021,63,99.78,8.08,0.02,83.0,8.86,-3.08
49.25,36.75,2021,63,99.84,8.27,0.03,82.05,8.69,-3.15
49.25,37.25,2021,63,99.87,8.45,0.04,81.53,8.47,-3.17
49.25,37.75,2021,63,99.9,8.52,0.04,81.34,8.23,-3.29
49.25,38.25,2021,63,99.94,8.5,0.05,81.38,8.0,-3.55
49.25,38.75,2021,63,100.0,8.51,0.04,81.53,7.83,-3.91
49.75,29.25,2021,63,98.58,6.15,0.11,90.58,7.8,-1.77
49.75,29.75,2021,63,98.83,6.19,0.09,90.33,7.82,-2.01
49.75,30.25,2021,63,99.1,6.24,0.08,89.96,7.99,-2.27
49.75,30.75,2021,63,99.37,6.28,0.06,89.73,8.15,-2.65
49.75,31.25,2021,63,99.64,6.3,0.05,90.03,7.96,-3.34
49.75,31.75,2021,63,99.88,6.07,0.05,91.11,6.97,-4.3
